id,fo4,vr,status,name
3328,0x14072e530,0x14071c820,4,FUN_14072e530
3350,0x1436f68d8,0x14371bf58,2,PTR_DAT_1436f68d8
3386,0x141baf930,0x141c300f0,2,FUN_141baf930
3404,0x140285c30,0x14026bef0,4,FUN_140285c30
3414,0x1405fe910,0x1405e9240,4,FUN_1405fe910
3457,0x141a2c3d0,0x141aaed40,2,FUN_141a2c3d0
3469,0x1418c36a0,0x141945950,4,FUN_1418c36a0
3482,0x142ca419c,0x142ce17e4,2,DAT_142ca419c
3509,0x1420089a0,0x14209fb40,4,FUN_1420089a0
3531,0x1426fa360,0x1426c8a50,2,FUN_1426fa360
3544,0x141740140,0x1417c0b50,4,FUN_141740140
3581,0x146723c28,0x146886f58,2,DAT_146723c28
3613,0x140717db0,0x140705ff0,4,FUN_140717db0
3628,0x14240e0d0,0x1424981e0,2,FUN_14240e0d0
3658,0x140656300,0x1406427f0,4,FUN_140656300
3664,0x14133eac0,0x1413c3700,2,FUN_14133eac0
3724,0x142e0a570,0x142e4c0f0,2,PTR_FUN_142e0a570
3737,0x142f12548,0x142f58718,2,DAT_142f12548
3754,0x140e961c0,0x140eec270,2,FUN_140e961c0
3801,0x14013f770,0x1401463a0,4,FUN_14013f770
3816,0x142d8efe8,0x142dd0818,2,PTR_LAB_142d8efe8
3822,0x140e7b990,0x140ecfd50,4,FUN_140e7b990
3850,0x141a4ed60,0x141ad16d0,4,FUN_141a4ed60
3856,0x141404620,0x141489770,4,FUN_141404620
3873,0x141f840b0,0x14202fa00,4,FUN_141f840b0
3877,0x141c5ed10,0x141cdeb30,2,FUN_141c5ed10
3882,0x1416145d0,0x14169bf90,2,FUN_1416145d0
3899,0x142c65dd4,0x142c9ced4,2,DAT_142c65dd4
3947,0x140754f70,0x140743230,2,FUN_140754f70
3961,0x14307f328,0x14309f5e8,2,s_Unable_to_write_objects_to_save_g_14307f328
3964,0x14015e050,0x140164ca0,2,FUN_14015e050
3966,0x141491070,0x1415166a0,4,FUN_141491070
3975,0x140e46930,0x140e9ac10,4,FUN_140e46930
